Company	Product	APS	Specification
CD Bioparticles	DiagNano Blue Coloured, Amine Silica Particles, 5		The coloured silica particles are applied for membrane checks, flow investigations or the quality check of antibody coupling procedures on surfaces.
CD Bioparticles	DiagNano Blue Fluorescent Silica Nanoparticles, 70 nm		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Blue Fluorescent Silica Particles, 1		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Blue Fluorescent Silica Particles, 200 nm		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Blue Fluorescent Silica Particles, 300 nm		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Blue Fluorescent Silica Particles, 500 nm		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Blue Fluorescent, Amine Silica Particles, 1		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Blue Fluorescent, Amine Silica Particles, 10		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Blue Fluorescent, Amine Silica Particles, 15		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Blue Fluorescent, Amine Silica Particles, 20		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Blue Fluorescent, Amine Silica Particles, 200 nm		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Blue Fluorescent, Amine Silica Particles, 3		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Blue Fluorescent, Amine Silica Particles, 300 nm		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Blue Fluorescent, Amine Silica Particles, 4		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Blue Fluorescent, Amine Silica Particles, 5		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Blue Fluorescent, Amine Silica Particles, 500 nm		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Blue Fluorescent, Carboxyl Silica Particles, 1		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Blue Fluorescent, Carboxyl Silica Particles, 10		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Blue Fluorescent, Carboxyl Silica Particles, 15		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Blue Fluorescent, Carboxyl Silica Particles, 20		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Blue Fluorescent, Carboxyl Silica Particles, 200 nm		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Blue Fluorescent, Carboxyl Silica Particles, 3		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Blue Fluorescent, Carboxyl Silica Particles, 300 nm		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Blue Fluorescent, Carboxyl Silica Particles, 4		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Blue Fluorescent, Carboxyl Silica Particles, 5		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Blue Fluorescent, Carboxyl Silica Particles, 500 nm		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano C18 Silica Particles, 1		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano C18 Silica Particles, 1.5		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano C18 Silica Particles, 10		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano C18 Silica Particles, 15		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano C18 Silica Particles, 20		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano C18 Silica Particles, 3		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano C18 Silica Particles, 300 nm		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano C18 Silica Particles, 4		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano C18 Silica Particles, 5		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano C18 Silica Particles, 500 nm		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano Carboxyl Silica Nanoparticles, 100 nm		Ideal for conjugation with amino groups containing proteins and antibodies.
CD Bioparticles	DiagNano Carboxyl Silica Nanoparticles, 30 nm		Ideal for conjugation with amino groups containing proteins and antibodies.
CD Bioparticles	DiagNano Carboxyl Silica Nanoparticles, 50 nm		Ideal for conjugation with amino groups containing proteins and antibodies.
CD Bioparticles	DiagNano Carboxyl Silica Nanoparticles, 70 nm		Ideal for conjugation with amino groups containing proteins and antibodies.
CD Bioparticles	DiagNano Carboxyl Silica Particles, 1		Ideal for conjugation with amino groups containing proteins and antibodies.
CD Bioparticles	DiagNano Carboxyl Silica Particles, 1.5		Ideal for conjugation with amino groups containing proteins and antibodies.
CD Bioparticles	DiagNano Carboxyl Silica Particles, 10		Ideal for conjugation with amino groups containing proteins and antibodies.
CD Bioparticles	DiagNano Carboxyl Silica Particles, 15		Ideal for conjugation with amino groups containing proteins and antibodies.
CD Bioparticles	DiagNano Carboxyl Silica Particles, 20		Ideal for conjugation with amino groups containing proteins and antibodies.
CD Bioparticles	DiagNano Carboxyl Silica Particles, 200 nm		Ideal for conjugation with amino groups containing proteins and antibodies.
CD Bioparticles	DiagNano Carboxyl Silica Particles, 3		Ideal for conjugation with amino groups containing proteins and antibodies.
CD Bioparticles	DiagNano Carboxyl Silica Particles, 300 nm		Ideal for conjugation with amino groups containing proteins and antibodies.
CD Bioparticles	DiagNano Carboxyl Silica Particles, 4		Ideal for conjugation with amino groups containing proteins and antibodies.
CD Bioparticles	DiagNano Carboxyl Silica Particles, 5		Ideal for conjugation with amino groups containing proteins and antibodies.
CD Bioparticles	DiagNano Carboxyl Silica Particles, 500 nm		Ideal for conjugation with amino groups containing proteins and antibodies.
CD Bioparticles	DiagNano EDTA Silica Particles, 1		Silica particles with EDTA surface are useful for the complexation of metal ions, e.g. Cu2+, Ni2+, Fe3+, Co3+, and radioactive metal ions.
CD Bioparticles	DiagNano EDTA Silica Particles, 1.5		Silica particles with EDTA surface are useful for the complexation of metal ions, e.g. Cu2+, Ni2+, Fe3+, Co3+, and radioactive metal ions.
CD Bioparticles	DiagNano EDTA Silica Particles, 10		Silica particles with EDTA surface are useful for the complexation of metal ions, e.g. Cu2+, Ni2+, Fe3+, Co3+, and radioactive metal ions.
CD Bioparticles	DiagNano EDTA Silica Particles, 15		Silica particles with EDTA surface are useful for the complexation of metal ions, e.g. Cu2+, Ni2+, Fe3+, Co3+, and radioactive metal ions.
CD Bioparticles	DiagNano EDTA Silica Particles, 20		Silica particles with EDTA surface are useful for the complexation of metal ions, e.g. Cu2+, Ni2+, Fe3+, Co3+, and radioactive metal ions.
CD Bioparticles	DiagNano EDTA Silica Particles, 3		Silica particles with EDTA surface are useful for the complexation of metal ions, e.g. Cu2+, Ni2+, Fe3+, Co3+, and radioactive metal ions.
CD Bioparticles	DiagNano EDTA Silica Particles, 300 nm		Silica particles with EDTA surface are useful for the complexation of metal ions, e.g. Cu2+, Ni2+, Fe3+, Co3+, and radioactive metal ions.
CD Bioparticles	DiagNano EDTA Silica Particles, 4		Silica particles with EDTA surface are useful for the complexation of metal ions, e.g. Cu2+, Ni2+, Fe3+, Co3+, and radioactive metal ions.
CD Bioparticles	DiagNano EDTA Silica Particles, 5		Silica particles with EDTA surface are useful for the complexation of metal ions, e.g. Cu2+, Ni2+, Fe3+, Co3+, and radioactive metal ions.
CD Bioparticles	DiagNano EDTA Silica Particles, 500 nm		Silica particles with EDTA surface are useful for the complexation of metal ions, e.g. Cu2+, Ni2+, Fe3+, Co3+, and radioactive metal ions.
CD Bioparticles	DiagNano Epoxy Silica Particles, 1		Ideal for direct conjugation with amino or SH group containing proteins, antibodies or other target molecules. Amino group conjugation can occur in a conjugation buffer at pH=9, while SH group conjugation occur at pH=7.
CD Bioparticles	DiagNano Epoxy Silica Particles, 1.5		Ideal for direct conjugation with amino or SH group containing proteins, antibodies or other target molecules. Amino group conjugation can occur in a conjugation buffer at pH=9, while SH group conjugation occur at pH=7.
CD Bioparticles	DiagNano Epoxy Silica Particles, 10		Ideal for direct conjugation with amino or SH group containing proteins, antibodies or other target molecules. Amino group conjugation can occur in a conjugation buffer at pH=9, while SH group conjugation occur at pH=7.
CD Bioparticles	DiagNano Epoxy Silica Particles, 15		Ideal for direct conjugation with amino or SH group containing proteins, antibodies or other target molecules. Amino group conjugation can occur in a conjugation buffer at pH=9, while SH group conjugation occur at pH=7.
CD Bioparticles	DiagNano Epoxy Silica Particles, 20		Ideal for direct conjugation with amino or SH group containing proteins, antibodies or other target molecules. Amino group conjugation can occur in a conjugation buffer at pH=9, while SH group conjugation occur at pH=7.
CD Bioparticles	DiagNano Epoxy Silica Particles, 3		Ideal for direct conjugation with amino or SH group containing proteins, antibodies or other target molecules. Amino group conjugation can occur in a conjugation buffer at pH=9, while SH group conjugation occur at pH=7.
CD Bioparticles	DiagNano Epoxy Silica Particles, 300 nm		Ideal for direct conjugation with amino or SH group containing proteins, antibodies or other target molecules. Amino group conjugation can occur in a conjugation buffer at pH=9, while SH group conjugation occur at pH=7.
CD Bioparticles	DiagNano Epoxy Silica Particles, 4		Ideal for direct conjugation with amino or SH group containing proteins, antibodies or other target molecules. Amino group conjugation can occur in a conjugation buffer at pH=9, while SH group conjugation occur at pH=7.
CD Bioparticles	DiagNano Epoxy Silica Particles, 5		Ideal for direct conjugation with amino or SH group containing proteins, antibodies or other target molecules. Amino group conjugation can occur in a conjugation buffer at pH=9, while SH group conjugation occur at pH=7.
CD Bioparticles	DiagNano Epoxy Silica Particles, 500 nm		Ideal for direct conjugation with amino or SH group containing proteins, antibodies or other target molecules. Amino group conjugation can occur in a conjugation buffer at pH=9, while SH group conjugation occur at pH=7.
CD Bioparticles	DiagNano Gold Labeled Silica Particles, 10		The gold labeling allows the binding of thiolated biomolecules. Other metal labelings (e.g. Pt, Pd, Ag) are available on request.
CD Bioparticles	DiagNano Gold Labeled Silica Particles, 15		The gold labeling allows the binding of thiolated biomolecules. Other metal labelings (e.g. Pt, Pd, Ag) are available on request.
CD Bioparticles	DiagNano Gold Labeled Silica Particles, 20		The gold labeling allows the binding of thiolated biomolecules. Other metal labelings (e.g. Pt, Pd, Ag) are available on request.
CD Bioparticles	DiagNano Gold Labeled Silica Particles, 3		The gold labeling allows the binding of thiolated biomolecules. Other metal labelings (e.g. Pt, Pd, Ag) are available on request.
CD Bioparticles	DiagNano Gold Labeled Silica Particles, 4		The gold labeling allows the binding of thiolated biomolecules. Other metal labelings (e.g. Pt, Pd, Ag) are available on request.
CD Bioparticles	DiagNano Gold Labeled Silica Particles, 5		The gold labeling allows the binding of thiolated biomolecules. Other metal labelings (e.g. Pt, Pd, Ag) are available on request.
CD Bioparticles	DiagNano Green Fluorescent Silica Nanoparticles, 100 nm		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Green Fluorescent Silica Nanoparticles, 30 nm		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Green Fluorescent Silica Nanoparticles, 50 nm		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Green Fluorescent Silica Nanoparticles, 70 nm		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Green Fluorescent Silica Particles, 1		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Green Fluorescent Silica Particles, 1.5		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Green Fluorescent Silica Particles, 10		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Green Fluorescent Silica Particles, 15		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Green Fluorescent Silica Particles, 20		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Green Fluorescent Silica Particles, 200 nm		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Green Fluorescent Silica Particles, 3		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Green Fluorescent Silica Particles, 300 nm		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Green Fluorescent Silica Particles, 5		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Green Fluorescent Silica Particles, 500 nm		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Green Fluorescent, Amine Silica Nanoparticles, 100 nm		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Amine Silica Nanoparticles, 30 nm		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Amine Silica Nanoparticles, 50 nm		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Amine Silica Nanoparticles, 70 nm		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Amine Silica Particles, 1		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Amine Silica Particles, 1.5		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Amine Silica Particles, 10		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Amine Silica Particles, 15		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Amine Silica Particles, 20		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Amine Silica Particles, 200 nm		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Amine Silica Particles, 3		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Amine Silica Particles, 300 nm		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Amine Silica Particles, 4		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Amine Silica Particles, 5		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Amine Silica Particles, 500 nm		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Carboxyl Silica Nanoparticles, 100 nm		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Carboxyl Silica Nanoparticles, 30 nm		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Carboxyl Silica Nanoparticles, 50 nm		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Carboxyl Silica Nanoparticles, 70 nm		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Carboxyl Silica Particles, 1		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Carboxyl Silica Particles, 1.5		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Carboxyl Silica Particles, 10		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Carboxyl Silica Particles, 15		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Carboxyl Silica Particles, 20		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Carboxyl Silica Particles, 200 nm		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Carboxyl Silica Particles, 3		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Carboxyl Silica Particles, 300 nm		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Carboxyl Silica Particles, 4		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Carboxyl Silica Particles, 5		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Green Fluorescent, Carboxyl Silica Particles, 500 nm		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano NHS Silica Particles, 1		Suitable for direct conjugation with amino groups of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano NHS Silica Particles, 1.5		Suitable for direct conjugation with amino groups of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano NHS Silica Particles, 10		Suitable for direct conjugation with amino groups of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano NHS Silica Particles, 15		Suitable for direct conjugation with amino groups of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano NHS Silica Particles, 20		Suitable for direct conjugation with amino groups of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano NHS Silica Particles, 3		Suitable for direct conjugation with amino groups of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano NHS Silica Particles, 300 nm		Suitable for direct conjugation with amino groups of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano NHS Silica Particles, 4		Suitable for direct conjugation with amino groups of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano NHS Silica Particles, 5		Suitable for direct conjugation with amino groups of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano NHS Silica Particles, 500 nm		Suitable for direct conjugation with amino groups of proteins, antibodies or other target molecules.
CD Bioparticles	DiagNano Ni-NTA Silica Particles, 1		These particles can be used for binding of histidine labeled proteins.
CD Bioparticles	DiagNano Ni-NTA Silica Particles, 1.5		These particles can be used for binding of histidine labeled proteins.
CD Bioparticles	DiagNano Ni-NTA Silica Particles, 10		These particles can be used for binding of histidine labeled proteins.
CD Bioparticles	DiagNano Ni-NTA Silica Particles, 15		These particles can be used for binding of histidine labeled proteins.
CD Bioparticles	DiagNano Ni-NTA Silica Particles, 20		These particles can be used for binding of histidine labeled proteins.
CD Bioparticles	DiagNano Ni-NTA Silica Particles, 3		These particles can be used for binding of histidine labeled proteins.
CD Bioparticles	DiagNano Ni-NTA Silica Particles, 300 nm		These particles can be used for binding of histidine labeled proteins.
CD Bioparticles	DiagNano Ni-NTA Silica Particles, 4		These particles can be used for binding of histidine labeled proteins.
CD Bioparticles	DiagNano Ni-NTA Silica Particles, 5		These particles can be used for binding of histidine labeled proteins.
CD Bioparticles	DiagNano Ni-NTA Silica Particles, 500 nm		These particles can be used for binding of histidine labeled proteins.
CD Bioparticles	DiagNano NR3+ Silica Particles, 1		These particles are useful tools for toxicity studies or antimicrobial membrane coatings.
CD Bioparticles	DiagNano NR3+ Silica Particles, 1.5		These particles are useful tools for toxicity studies or antimicrobial membrane coatings.
CD Bioparticles	DiagNano NR3+ Silica Particles, 10		These particles are useful tools for toxicity studies or antimicrobial membrane coatings.
CD Bioparticles	DiagNano NR3+ Silica Particles, 15		These particles are useful tools for toxicity studies or antimicrobial membrane coatings.
CD Bioparticles	DiagNano NR3+ Silica Particles, 20		These particles are useful tools for toxicity studies or antimicrobial membrane coatings.
CD Bioparticles	DiagNano NR3+ Silica Particles, 200 nm		These particles are useful tools for toxicity studies or antimicrobial membrane coatings.
CD Bioparticles	DiagNano NR3+ Silica Particles, 3		These particles are useful tools for toxicity studies or antimicrobial membrane coatings.
CD Bioparticles	DiagNano NR3+ Silica Particles, 300 nm		These particles are useful tools for toxicity studies or antimicrobial membrane coatings.
CD Bioparticles	DiagNano NR3+ Silica Particles, 5		These particles are useful tools for toxicity studies or antimicrobial membrane coatings.
CD Bioparticles	DiagNano NR3+ Silica Particles, 500 nm		These particles are useful tools for toxicity studies or antimicrobial membrane coatings.
CD Bioparticles	DiagNano NTA Silica Particles, 1		These particles can be used for binding of histidine labeled proteins.
CD Bioparticles	DiagNano NTA Silica Particles, 1.5		These particles can be used for binding of histidine labeled proteins.
CD Bioparticles	DiagNano NTA Silica Particles, 10		These particles can be used for binding of histidine labeled proteins.
CD Bioparticles	DiagNano NTA Silica Particles, 15		These particles can be used for binding of histidine labeled proteins.
CD Bioparticles	DiagNano NTA Silica Particles, 20		These particles can be used for binding of histidine labeled proteins.
CD Bioparticles	DiagNano NTA Silica Particles, 3		These particles can be used for binding of histidine labeled proteins.
CD Bioparticles	DiagNano NTA Silica Particles, 300 nm		These particles can be used for binding of histidine labeled proteins.
CD Bioparticles	DiagNano NTA Silica Particles, 4		These particles can be used for binding of histidine labeled proteins.
CD Bioparticles	DiagNano NTA Silica Particles, 5		These particles can be used for binding of histidine labeled proteins.
CD Bioparticles	DiagNano NTA Silica Particles, 500 nm		These particles can be used for binding of histidine labeled proteins.
CD Bioparticles	DiagNano Protein A Silica Particles, 1		Protein A conjugated silica particles are suitable for picking up and orient IgG from a mixture of species.
CD Bioparticles	DiagNano Protein A Silica Particles, 1.5		Protein A conjugated silica particles are suitable for picking up and orient IgG from a mixture of species.
CD Bioparticles	DiagNano Protein A Silica Particles, 10		Protein A conjugated silica particles are suitable for picking up and orient IgG from a mixture of species.
CD Bioparticles	DiagNano Protein A Silica Particles, 15		Protein A conjugated silica particles are suitable for picking up and orient IgG from a mixture of species.
CD Bioparticles	DiagNano Protein A Silica Particles, 20		Protein A conjugated silica particles are suitable for picking up and orient IgG from a mixture of species.
CD Bioparticles	DiagNano Protein A Silica Particles, 3		Protein A conjugated silica particles are suitable for picking up and orient IgG from a mixture of species.
CD Bioparticles	DiagNano Protein A Silica Particles, 300 nm		Protein A conjugated silica particles are suitable for picking up and orient IgG from a mixture of species.
CD Bioparticles	DiagNano Protein A Silica Particles, 4		Protein A conjugated silica particles are suitable for picking up and orient IgG from a mixture of species.
CD Bioparticles	DiagNano Protein A Silica Particles, 5		Protein A conjugated silica particles are suitable for picking up and orient IgG from a mixture of species.
CD Bioparticles	DiagNano Protein A Silica Particles, 500 nm		Protein A conjugated silica particles are suitable for picking up and orient IgG from a mixture of species.
CD Bioparticles	DiagNano Red Coloured Silica Nanoparticles, 100 nm		The coloured silica particles are applied for membrane checks, flow investigations or the quality check of antibody coupling procedures on surfaces.
