Company,Product,APS,Specification
"beike 2D materials Co.,Ltd.",Organoid Ti3C2 MXenes material,N/A,1g
"beike 2D materials Co.,Ltd.",Manganese ion intercalation MXene Ti3C2,N/A,10ml
"beike 2D materials Co.,Ltd.",Super-sized Ti3C2 nanosheets (> 10μm),N/A,10ml?Concentration 5mg/ml?
"beike 2D materials Co.,Ltd.",Organoid Ti3CN MXenes material,N/A,1g
"beike 2D materials Co.,Ltd.",Mxene preparation-photocatalytic ordered TiO2 nanosheet / C composite,N/A,1g
PlasmaChem GmbH,Titanium Boride nanoparticles,,P(>98.5%)
PlasmaChem GmbH,Titanium Boride nanoparticles,,P(>98.5%) fine grade
PlasmaChem GmbH,Titanium Boride/Boron Carbide nanoparticles,,
PlasmaChem GmbH,Titanium Boride/Boron Carbide/Tungsten Boride nanoparticles,,
PlasmaChem GmbH,Titanium Carbonitride nanoparticles,35-45nm,
Inframat Advanced Materials LLC,Tungsten Carbide/Cobalt nanoparticles,40-80nm,"15wt% Co, P(99.9)"
Inframat Advanced Materials LLC,Tungsten Carbide/Cobalt nanoparticles,40-80nm,"12wt% Co, P(99.9)"
Inframat Advanced Materials LLC,Tungsten Carbide/Cobalt nanoparticles,50-500nm,Thermal spray powder
PlasmaChem GmbH,Yttria Stabilized Zirconia nanoparticles,10-30nm,"3 mol% Y2O3, P(>92.7), tetragonal structure structure"
PlasmaChem GmbH,Yttria Stabilized Zirconia nanoparticles,100-200nm,"4 mol% Y2O3, tetragonal structure"
"Nyacol Nanotechnologies, Inc.",Yttria Stabilized Zirconia nanoparticles,100nm,acidic
Particular GmbH,Yttria Stabilized Zirconia nanoparticles,100nm,in water or solvents
PlasmaChem GmbH,Yttria Stabilized Zirconia nanoparticles,20-50nm,"6 mol% Y2O3), cubic structure"
Inframat Advanced Materials LLC,Yttria Stabilized Zirconia nanoparticles,30-60nm,"3 mol% Y2O3, P(>99.95)"
Inframat Advanced Materials LLC,Yttria Stabilized Zirconia nanoparticles,30-60nm,"8 mol% Y2O3), P(>99.9)"
Marketech International,Yttria Stabilized Zirconia nanoparticles,35nm,
