Company	Material	Atoms	Specification
Nanografi Nanotechnology Co. Ltd.	Polyhydroxylated fullerene (Fullerenols) / C60, -OH Functionalized		Dispersed in Water, 130 ppm
Nanografi Nanotechnology Co. Ltd.	Polyhydroxylated fullerene (Fullerenols) / C60, -OH Functionalized		Dispersed in Water, 4000 ppm
Nanografi Nanotechnology Co. Ltd.	Polyhydroxylated fullerene (Fullerenols) / C60, -OH Functionalized		Dispersed in Water, 250 ppm
Nanografi Nanotechnology Co. Ltd.	Polyhydroxylated fullerene (Fullerenols) / C60, -OH Functionalized		Dispersed in Water, 80 ppm
Nanografi Nanotechnology Co. Ltd.	Polyhydroxylated fullerenes ( Fullerenols ),C60 (-OH functional fullerene)		
Solaris Chem	PCBM - PC61BM		CAS: 160848-22-6
Solaris Chem	bis-PCBM		CAS: 1048679-01-1
Solaris Chem	IC60BA		CAS: 1207461-57-1
Solaris Chem	IC60MA		CAS: 186682-36-0
Solaris Chem	IC60TA		CAS: 1363385-54-9
American Dye Source, Inc.	Pure fullerenes	60	
American Dye Source, Inc.	Pure fullerenes	60	
American Dye Source, Inc.	Pure fullerenes	60	
IoLiTec	Pure fullerenes	60	
IoLiTec	Pure fullerenes	60	
IoLiTec	Pure fullerenes	60	
IoLiTec	Pure fullerenes	60	
IoLiTec	13C-enriched fullerenes	60	C-13 enriched C60 (ca. 20-30%)
IoLiTec	Chemically Modified Fullerenes	60	C60 PCBM
IoLiTec	Chemically Modified Fullerenes	60	C60 PCBM-BIS
IoLiTec	Chemically Modified Fullerenes	60	C60 PCBE
IoLiTec	Chemically Modified Fullerenes	60	C60 PCBB
IoLiTec	Chemically Modified Fullerenes	60	C60 PCBA
IoLiTec	Chemically Modified Fullerenes	60	C60 PCBA-BIS
IoLiTec	Chemically Modified Fullerenes	60	C60 Ac
IoLiTec	Chemically Modified Fullerenes	60	C60 Ac-BIS
IoLiTec	Chemically Modified Fullerenes	60	C60 Mal
IoLiTec	Chemically Modified Fullerenes	60	C60 Mal-BIS
IoLiTec	Chemically Modified Fullerenes	60	C60 ThCBM
IoLiTec	Chemically Modified Fullerenes	60	C60 ThCBM-BIS
IoLiTec	Chemically Modified Fullerenes	60	C60 ThCPP
IoLiTec	Chemically Modified Fullerenes	60	C60 ThCPB
IoLiTec	Chemically Modified Fullerenes	60	FuCBM
Materials Technologies Research MTR Ltd.	13C-enriched fullerenes	60	
Materials Technologies Research MTR Ltd.	Chemically Modified Fullerenes	60	Halogenated C60Br24
Materials Technologies Research MTR Ltd.	Chemically Modified Fullerenes	60	Halogenated C60Cl6
Materials Technologies Research MTR Ltd.	Chemically Modified Fullerenes	60	Halogenated C60F36
Materials Technologies Research MTR Ltd.	Chemically Modified Fullerenes	60	Water soluble C60(OH)n, n=22-26 (Fullerol)
Materials Technologies Research MTR Ltd.	Chemically Modified Fullerenes	60	Water soluble amino acids derivatives of C60
Materials Technologies Research MTR Ltd.	Chemically Modified Fullerenes	60	Organometallic complexes of C60
Materials Technologies Research MTR Ltd.	Chemically Modified Fullerenes	60	ThCBM
Materials Technologies Research MTR Ltd.	Pure fullerenes	60	
Materials Technologies Research MTR Ltd.	Chemically Modified Fullerenes	60	PCBM
Materials Technologies Research MTR Ltd.	Sublimed Fullerenes	60	
Materials Technologies Research MTR Ltd.	Chemically Modified Fullerenes	60	Halogenated C60Cl30
Materials Technologies Research MTR Ltd.	Pure fullerenes	60	
Materials Technologies Research MTR Ltd.	Pure fullerenes	60	
Materials Technologies Research MTR Ltd.	Chemically Modified Fullerenes	60	Halogenated C60Cl24
Nano-C, Inc.	Pure fullerenes	60	
Nanografi Nanotechnology Co. Ltd.	Fullerene-C60	60	
Nanografi Nanotechnology Co. Ltd.	Fullerene-C60	60	
Nanografi Nanotechnology Co. Ltd.	Fullerene-C60	60	
