Company,Material,Thickness,Specification
Graphene Industries Ltd.,Graphene on substrate,"single, double, triple and >3 layer",Graphene on 300 nm and 90 nm silicon dioxide
Graphene Industries Ltd.,Graphene on substrate,"single, double, triple and >3 layer",Graphene on electrically conductive substrate
Graphene Platform Corp.,Graphene on substrate,monolayer,Single layer CVD-grown graphene on copper foil
Graphene Platform Corp.,Graphene on substrate,multilayer,Multi-layer CVD-grown graphene on nickel foil
Graphene Platform Corp.,Graphene on substrate,monolayer,"Single layer graphene on PET, glass or SiO2"
Graphene Square,Graphene on substrate,,CVD graphene on silicon dioxide
Graphene Square,Graphene on substrate,,Graphene on glass
Graphene Square,Graphene on substrate,,Graphene on PET
Graphene Square,Graphene on substrate,,CVD grapene on glass
Graphenea,Graphene on substrate,trilayer,Trilayer graphene on SiO2/Si
Graphenea,Graphene on substrate,monolayer,Monolayer graphene on Cu
Graphenea,Graphene on substrate,monolayer,Monolayer graphene on Cu
Graphenea,Graphene on substrate,monolayer,Monolayer graphene on Quartz
Graphenea,Graphene on substrate,monolayer,Monolayer graphene on PET
Graphenea,Graphene on substrate,monolayer,Monolayer graphene on Cu
Graphenea,Graphene on substrate,monolayer,Monolayer graphene on SiO2/Si
Graphenea,Graphene on substrate,bilayer,Binolayer graphene on SiO2/Si
Graphenea,Graphene on substrate,monolayer,Monolayer graphene on substrate of choice (tailor made)
Graphenea,Graphene on substrate,monolayer,Monolayer graphene on SiO2/Si
Nanochemazone,Graphene on Ultra-Fine 200 Mesh Copper TEM Grids,,
Alfa Chemistry,Graphene on Your Substrate,0.345 nm (theoretical),
Adnano technologies pvt. ltd,Graphene Oxide,~0.8-2 nm,Easy Dispersion Improve Mechanical Properties Improve the electrical properties
Alfa Chemistry,Graphene oxide,,Packaging 500 mg
Alfa Chemistry,GRAPHENE OXIDE,0.8~1.2 nm,
Platonic Nanotech Pvt. Ltd.,Graphene Oxide,1-10 nm,
Source Graphene,Graphene Oxide,0.9 � few nm,High hydrophilicity | Color: dark-brown | Odor: odorless
Source Graphene,Graphene Oxide,0.9 � few nm,High hydrophilicity | Color: dark-brown | Odor: odorless
Source Graphene,Graphene Oxide,0.9 � few nm,High hydrophilicity | Color: dark-brown | Odor: odorless
Source Graphene,Graphene Oxide,0.9 � few nm,High hydrophilicity | Color: dark-brown | Odor: odorless
Alfa Chemistry,"Graphene oxide (0.8-1.2nm thick x 1-15 microns wide, made by the Staudenmaier Method)",,
Alfa Chemistry,"Graphene Oxide (10mg/mL, Dispersion in Water)",,"10mg/mL, Dispersion in Water"
Alfa Chemistry,Graphene oxide (4mg/ml water dispersion) - low Mn.,,CAS 1034343-98-0
Alfa Chemistry,Graphene Oxide (GO) TEM Support Films,,
Alfa Chemistry,Graphene Oxide (S Method),,S Method
United Nanotech Innovations Pvt.Ltd,Graphene Oxide (UGOX),0.8~2 nm,Graphene oxide .layers 3-6
Matexcel,Graphene oxide aerogel microspheres,,
Alfa Chemistry,Graphene Oxide Dispersion,,Density 0.981 g/mL (25 �C)
United Nanotech Innovations Pvt.Ltd,Graphene Oxide Dispersion,3-6 nm,Graphene oxide dispersion with 3% concentration
Alfa Chemistry,Graphene Oxide dispersion >500 nm(C:1mg/ml solvent:water),,
Alfa Chemistry,Graphene Oxide Film,10-13 μm,
Alfa Chemistry,Graphene Oxide Film,10-13 μm,
Matexcel,Graphene Oxide Film,,
Alfa Chemistry,Graphene Oxide Film (Super Paper) (GOFSP),,
Alfa Chemistry,Graphene Oxide Film(Filtering method),,Packaging 1 Piece
Alfa Chemistry,Graphene Oxide Film-Super Paper,,
Alfa Chemistry,Graphene oxide flake,0.8-1.2 nm,Planar size: 0.5-5μm
Matexcel,Graphene Oxide Foam Granules,,
Matexcel,"Graphene Oxide Gel, <2nm",,
Matexcel,"Graphene Oxide Gel, <2nm",,
Matexcel,"Graphene Oxide Gel, Diameter: 1~5um",,
Matexcel,"Graphene Oxide Gel, Diameter: 1~5um",,
Matexcel,"Graphene Oxide Gel, Diameter: 8~15um",,
Matexcel,"Graphene Oxide Gel, Diameter: 8~15um",,
Matexcel,"Graphene Oxide Gel, Diameter: >50um",,
Matexcel,Graphene Oxide Paper,,
Matexcel,Graphene Oxide Paste,,
Alfa Chemistry,Graphene Oxide powder,0.8-1.2 nm,Packaging 5g
Matexcel,Graphene Oxide Powder,,
Nanografi Nanotechnology Co. Ltd.,Graphene Oxide Powder,,"2-5 Layer, Dia:7,5 um, SA: 420 m2/gr"
Matexcel,Graphene oxide quantum dot powder (blue fluorescence),,
Matexcel,Graphene oxide quantum dot powder (yellow fluorescence),,
Matexcel,Graphene oxide quantum dot solution (blue fluorescence),,
Matexcel,Graphene oxide quantum dot solution (yellow fluorescence),,
Alfa Chemistry,Graphene Oxide Water Dispersion,,
Matexcel,"Graphene Oxide Water Dispersion, 0.4 wt%",,
Matexcel,"Graphene Oxide Water Dispersion, 1-3 wt%",,
Graphitene,Graphene Oxide � Film,monolayer,
Graphitene,Graphene Oxide � Monolayer Dispersion,monolayer,
Graphitene,Graphene Oxide � Monolayer Dispersion,monolayer,
Matexcel,"Graphene Oxide, <2nm",,
Matexcel,"Graphene Oxide, <2nm",,
Matexcel,"Graphene Oxide, Diameter: 1~5um",,
Matexcel,"Graphene Oxide, Diameter: 1~5um",,
Matexcel,"Graphene Oxide, Diameter: 8~15um",,
Matexcel,"Graphene Oxide, Diameter: 8~15um",,
Matexcel,"Graphene Oxide, Diameter: >50um",,
Alfa Chemistry,"Graphene oxide, reduced",,
Nanochemazone,Graphene Oxides Solution,0.55-2nm,
Matexcel,Graphene Paper,,
Nanochemazone,Graphene Paste,0.55- 3.74 nm (Customization possible),
Alfa Chemistry,Graphene Platelet Nanopowder (GPN Type 1),,GPN Type 1
Alfa Chemistry,Graphene Platelet Nanopowder (GPN Type 2),,GPN Type 2
Alfa Chemistry,Graphene Platelet Nanopowder (GPN Type 3),,GPN Type 3
Alfa Chemistry,"Graphene powder (single layer, surface area 400-1000 m2/g)",,single layer
Alfa Chemistry,Graphene Powder with small diameter,0.33-0.39 nm,Packaging 200 mg
Matexcel,Graphene quantum dot solution (green fluorescence),,
Alfa Chemistry,"Graphene Quantum Dots (GQDs) in water, Cyan Luminescent",,
Alfa Chemistry,"Graphene Quantum Dots (GQDs), Aqua-Green Luminescent",,
Matexcel,Graphene quantum dots (red fluorescence),,
Matexcel,Graphene quantum dots (white fluorescence),,
Nanografi Nanotechnology Co. Ltd.,Graphene Sample Pack,,include 9 products
Nanografi Nanotechnology Co. Ltd.,Graphene Sheet,35�m,
Nanografi Nanotechnology Co. Ltd.,Graphene Sheet,35�m,
Nanografi Nanotechnology Co. Ltd.,Graphene Sheet,35�m,
Nanografi Nanotechnology Co. Ltd.,Graphene Sheet,35�m,
Nanografi Nanotechnology Co. Ltd.,Graphene Sheet,35�m,
Nanochemazone,Graphene Sheets Powder,0.55- 3.74 nm (Customization possible),
Alfa Chemistry,Graphene slurry in water,,"D: 1-5μm, content: 5.0 wt%"
Nanochemazone,Graphene Solution,0.55-3.74nm,
Nanografi Nanotechnology Co. Ltd.,Graphene Solution,"0,6-1,2 nm (single layer)",
Nanografi Nanotechnology Co. Ltd.,Graphene Solution,"0,5-1,3 nm (single layer)",
Nanografi Nanotechnology Co. Ltd.,Graphene Solution,"0,4-1,1 nm","8 mg/mL, in H2O"
Alfa Chemistry,"Graphene Sponges (Foams,Aerogel)",,Packaging 20mg
Matexcel,Graphene Water Dispersion,,
Graphitene,Graphene � Monolayer Dispersion,80% monolayer,
Graphitene,Graphene � Monolayer Dispersion,80% monolayer,
Carbon Gates Technologies LLC,Graphene-95%,< 3nm,Electrical Conductivity: 0.6*10 6 S/m
Carbon Gates Technologies LLC,Graphene-99%,< 3nm,Sp2-hybridized carbon content > 95%
Matexcel,Graphene/PDMS Flexible Foam,,
Matexcel,Graphene/TPU Flexible Foam,,
Alfa Chemistry,Graphite Flake,,
Alfa Chemistry,Graphite Fluoride,,EC Number 234-345-5
Alfa Chemistry,Graphite Fluoride (Carbon Monofluoride),,
Alfa Chemistry,Graphite Fluoride (Carbon Monofluoride) Nanopowder,,
Alfa Chemistry,Graphite nanoparticles,<40 nm,Packaging 1 kg
Alfa Chemistry,Graphite Oxide,,
Alfa Chemistry,Graphite Oxide Nanopowder,,
Alfa Chemistry,"Graphite powder, natural, briquetting grade, -100 mesh, 99.9995% (metals basis)",,natural
Alfa Chemistry,"Graphite powder, natural, briquetting grade, -200 mesh, 99.9995% (metals basis)",,briquetting grade
Alfa Chemistry,"Graphite powder, natural, high purity, -200 mesh, 99.9999% (metals basis)",,"high purity, -200 mesh, 99.9999% (metals basis)"
Alfa Chemistry,"Graphite powder, natural, microcrystal grade, APS 2-15 micron, 99.9995% (metals basis)",,microcrystal grade
Alfa Chemistry,"Graphite powder, natural, universal grade, -200 mesh, 99.9995% (metals basis)",,universal grade
Alfa Chemistry,"Graphite powder, synthetic, -20+100 mesh, 99% C, 0.2% max Ash",,synthetic
Alfa Chemistry,"Graphite powder, synthetic, conducting grade, -200 mesh, 99.9995% (metals basis)",,conducting grade
Alfa Chemistry,"Graphite powder, synthetic, conducting grade, -325 mesh, 99.9995% (metals basis)",,conducting grade
Alfa Chemistry,Graphite Pyrolytic Micronpowder,,
Alfa Chemistry,"Graphite rod, 10.0mm (0.40in) dia, 99.997% (metals basis)",,
Alfa Chemistry,"Graphite rod, 13cm (5.125in) dia x 30.5cm (12in) long, 99% (metals basis)",,13cm (5.125in) dia x 30.5cm (12in) long
Alfa Chemistry,"Graphite rod, 3.05mm (0.12in) dia x 305mm (12in) long, 99.9995% (metals basis)",,3.05mm (0.12in) dia x 305mm (12in) long
Alfa Chemistry,"Graphite rod, 3.8cm (1.5in) dia x 61cm (24in) long, 99% (metals basis)",,3.8cm (1.5in) dia x 61cm (24in) long
Alfa Chemistry,"Graphite rod, 5.0mm (0.20in) dia, 99.997% (metals basis)",,
Alfa Chemistry,"Graphite rod, 6.15mm (0.242in) dia x 102mm (4in) long, 99.9995% (metals basis)",,6.15mm (0.242in) dia x 102mm (4in) long
Alfa Chemistry,"Graphite rod, 6.15mm (0.242in) dia x 152mm (6in) long, 99.9995% (metals basis)",,6.15mm (0.242in) dia x 152mm (6in) long
Alfa Chemistry,"Graphite rod, 6.15mm (0.242in) dia x 305mm (12in) long, 99.9995% (metals basis)",,6.15mm (0.242in) dia x 305mm (12in) long
Alfa Chemistry,"Graphite rod, pyrolytic coated, 2mm (0.08in) dia x 152mm (6in) long",,2mm (0.08in) dia x 152mm (6in) long
Alfa Chemistry,"Graphitic carbon nitride, 99%, length: 1 - 10 μm",,
Alfa Chemistry,Heat Dissipation Graphene Oxide Mud,,Packaging 1kg
Alfa Chemistry,Hexagonal Boron Nitride (h-BN),,
Alfa Chemistry,HfS2 Crystal,,
Alfa Chemistry,HfSe2 Crystal,,
Matexcel,High Porosity Reduced Graphene Oxide,,
Alfa Chemistry,High pure flake graphite-325 mesh,,Packaging 1 Kg
Nanochemazone,High Purity Graphene Nanoplatelets,,
Matexcel,"High Purity Graphene, 1~3nm",,
Matexcel,"High Purity Graphene, 1~3nm",,
Matexcel,"High Purity Graphene, 1~3nm Water Dispersion",,
Matexcel,"High Purity Graphene, 1~3nm Water Dispersion",,
Matexcel,"High Purity Graphene, <10nm Water Dispersion",,
Matexcel,"High Purity Graphene, <10nm Water Dispersion",,
Matexcel,High Specific Surface Area Graphene Oxide,,
Alfa Chemistry,High Surface Area Graphene Oxide,,
Matexcel,High Surface Area Reduced Graphene Oxide,,
Matexcel,"High-Electrical Conductivity Graphene, 0.06-0.12μm",,
Matexcel,"High-Electrical Conductivity Graphene, 0.06-0.12μm",,
Matexcel,"High-Electrical Conductivity Graphene, 1-5μm",,
Matexcel,"High-Electrical Conductivity Graphene, 1-5μm",,
Matexcel,"High-Electrical Conductivity Graphene, 8-15μm",,
Matexcel,"High-Electrical Conductivity Graphene, 8-15μm",,
Matexcel,"High-Electrical Conductivity Graphene, >50 μm",,
Matexcel,"High-Electrical Conductivity Graphene, >50 μm",,
Matexcel,High-Purity Graphene,,
Alfa Chemistry,Highly Concentrated Graphene Oxide,,Concentration 2.5 wt%
Matexcel,Highly Concentrated Graphene Oxide,,
Matexcel,"Highly Concentrated Graphene Oxide, 2.5 wt%",,
Matexcel,Highly Conductive Graphene,,
Alfa Chemistry,Highly Oriented Pyrolytic Graphite (HOPG-Grade A),,HOPG-Grade A
Alfa Chemistry,Highly Oriented Pyrolytic Graphite (HOPG-Grade B),,HOPG-Grade B
Alfa Chemistry,Highly Oriented Pyrolytic Graphite (HOPG-Grade C),,HOPG-Grade C
Alfa Chemistry,Highly oriented pyrolytic graphite Grade A(Size: 10x10x1.0mm),,
Alfa Chemistry,Highly oriented pyrolytic graphite Grade A(Size: 20x20x(1.6~2.0)mm),,
Alfa Chemistry,Highly oriented pyrolytic graphite Grade A(Size:20x20x1.0 mm),,
Alfa Chemistry,Highly oriented pyrolytic graphite Grade B(Size :20x20x(1.6-2.0) mm),,
Alfa Chemistry,Highly oriented pyrolytic graphite Grade B(Size:10x10x1.0 mm),,
Alfa Chemistry,Highly oriented pyrolytic graphite Grade B(Size:20x20x1.0 mm),,
Alfa Chemistry,Highly oriented pyrolytic graphite Grade B(Size:30x30x(1.6-2.0)mm),,
Alfa Chemistry,Highly oriented pyrolytic graphite Grade B(Size::5x5x1.0 mm),,
Alfa Chemistry,Highly oriented pyrolytic graphite Grade C(Size: 20x20x(1.6-2.0)mm),,
Alfa Chemistry,Highly oriented pyrolytic graphite Grade C(Size: 20x20x1.0 mm),,
Alfa Chemistry,Highly oriented pyrolytic graphite Grade C(Size: 30x30x(1.6-2.0)mm),,
Alfa Chemistry,Highly oriented pyrolytic graphite Grade C(Size:10x10x1.0 mm),,
Alfa Chemistry,Highly oriented pyrolytic graphite Grade C(Size:5x5x1.0 mm),,
Alfa Chemistry,HOPG,,Appearance Black block
Matexcel,Hydroxy Graphene quantum dots,,
Alfa Chemistry,Hydroxyl Functionalized Graphene,,
Nanochemazone,Hydroxylated Graphene Quantum Dots,,
Adnano technologies pvt. ltd,Hydroxylic Functionalized Graphene,~2-5nm,OH contain 20%
Matexcel,Imidazole-modified Graphene quantum dots powder,,
Matexcel,Imidazole-modified Graphene quantum dots solution,,
Alfa Chemistry,In2Se3 Crystal,,
Alfa Chemistry,Industrial Few Layer Graphene Nanoplates,,Packaging 1 kg
Alfa Chemistry,Industrial Fluorinated Graphene,,
Alfa Chemistry,Industrial Fluorinated Graphene,5-10nm,Packaging 1 Kg
Matexcel,"Industrial Grade Graphene Oxide, Diameter: 3~10um",,
Matexcel,"Industrial Grade Graphene Oxide, Diameter: 3~10um",,
Matexcel,Industrial Graphene,,
United Nanotech Innovations Pvt.Ltd,Industrial Graphene,10-15nm,Best Industrial quality of Graphene
Alfa Chemistry,Industrial Graphene Nanoplate,,Packaging 1 kg
Matexcel,Industrial Graphene Nanoplatelet,,
Alfa Chemistry,Industrial Graphene Oxide Powder,?5 nm,
Matexcel,"Industrial Multi-Walled Carbon Nanotubes, 4-6nm",,
Matexcel,"Industrial Multi-Walled Carbon Nanotubes, 8-15nm",,
Matexcel,"Industrial Multi-Walled Carbon Nanotubes,10-30nm",,
Matexcel,"Industrial Multi-Walled Carbon Nanotubes,10-30nm",,
Matexcel,"Industrial Multi-Walled Carbon Nanotubes,30-80nm",,
Matexcel,"Industrial Multi-Walled Carbon Nanotubes,30-80nm",,
Alfa Chemistry,Industrial Thin Graphene Nanoplate,,Packaging 100g
Alfa Chemistry,Industrial-Grade Graphite Oxide,,Industrial-Grade
Alfa Chemistry,Isotopic 13C Graphene on Cu Foil,,CAS 7440-44-0
Alfa Chemistry,Large Area Molybdenum Disulfide (MoS2) Crystals,,CAS 1317-33-5
Alfa Chemistry,Large diameter graphene oxide sheet,,Diameter: >5 um Layers: 1-6
Matexcel,Large-size Graphene Oxide,,
Alfa Chemistry,Large-Size Graphite Oxide,,Large-Size
Alfa Chemistry,Laser Scribed Graphene (LSG),25 μm,Packaging1 piece
Matexcel,"Layer Graphene Oxide, Ultra Highly Concentrated",,
Matexcel,Low Defects Graphene Oxide,,
Alfa Chemistry,Low-Defect Graphite Oxide,,Low-Defect
Alfa Chemistry,Mechanical exfoliation MoS2 on Al2O3,,
Alfa Chemistry,Mechanical exfoliation MoS2 on sapphire substrate,,
Alfa Chemistry,Mechanical exfoliation MoS2 on SiO2,,
Alfa Chemistry,Mechanical exfoliation MoSe2 on Al2O3,,
Alfa Chemistry,Mechanical exfoliation MoSe2 on sapphire substrate,,CAS 1317-33-5
Alfa Chemistry,Mechanical exfoliation MoSe2 on SiO2,,
Alfa Chemistry,Mechanical exfoliation WS2 on Al2O3,,CAS 7440-33-7
Alfa Chemistry,Mechanical exfoliation WS2 on sapphire substrate,,
Alfa Chemistry,Mechanical exfoliation WS2 on SiO2,,
Alfa Chemistry,Mechanical exfoliation WSe2 on Al2O3,,
Alfa Chemistry,Mechanical exfoliation WSe2 on sapphire substrate,,
Alfa Chemistry,Mechanically Exfoliated Single Crystal Graphene on SiO2/Si (SiO2: 300nm thick),,SiO2: 300nm thick
Alfa Chemistry,Mechanically Exfoliated Single Crystal Graphene on SiO2/Si (SiO2: 90nm thick),,SiO2: 90nm thick
Alfa Chemistry,Megnetic Graphene Oxide dispersion,,Packaging 50ml
Alfa Chemistry,Megnetic Graphene Oxide powder,,Packaging 100 mg
Alfa Chemistry,Molybdenum Disulfide (MoS2) Pristine Flakes in Solution,1 - 8 monolayers,
Alfa Chemistry,Molybdenum Disulfide Crystals,,
Alfa Chemistry,Molybdenum Disulfide dispersion,1-8 monolayers,
Alfa Chemistry,monolayer continuous film of MoS2 on sapphire subs,,CAS 1317-33-5
Alfa Chemistry,monolayer continuous film of MoS2 on SiO2,,Size 8X8 mm
Alfa Chemistry,Monolayer Graphene on Cu,0.345 nm (theoretical),
Matexcel,Monolayer Graphene on Cu,,
Alfa Chemistry,Monolayer Graphene on Cu (10 mm x 10 mm),,
Alfa Chemistry,Monolayer Graphene on Cu (60 mm x 40 mm),,
Alfa Chemistry,Monolayer Graphene on Cu with PMMA Coating,0.345 nm (theoretical),
Matexcel,Monolayer Graphene on Cu with PMMA Coating,,
Alfa Chemistry,Monolayer Graphene on Cu with PMMA coating (60mm x 40mm),,
Matexcel,Monolayer Graphene on Glass,,
Alfa Chemistry,Monolayer Graphene on PEN,0.345 nm,
Matexcel,Monolayer Graphene on PEN,,
Alfa Chemistry,Monolayer Graphene on PET,0.345 nm (theoretical),
Matexcel,Monolayer Graphene on PET,,
Matexcel,Monolayer Graphene on Polymer Film,,
Alfa Chemistry,Monolayer Graphene on Quartz,0.345 nm (theoretical),
Matexcel,Monolayer Graphene on Quartz,,
Matexcel,Monolayer Graphene on Sapphire,,
Matexcel,Monolayer Graphene on Si/SiO2,,
Alfa Chemistry,Monolayer Graphene on Si3N4,0.345 nm,
Matexcel,Monolayer Graphene on Si3N4 (10 mm x 10 mm),,
Matexcel,Monolayer Graphene on SiC,,
Alfa Chemistry,Monolayer Graphene on SiC substrate,,CAS 7440-44-0
Matexcel,Monolayer Graphene on Silicon wafer,,
Alfa Chemistry,Monolayer Graphene on SiO2/Si (10mm x 10mm),,
Alfa Chemistry,Monolayer Graphene on SiO2/Si(Size of SiO2: 2cmx2cm),,
Alfa Chemistry,Monolayer Graphene on SiO2/Si(Size of SiO2:1.5cmx1.5cm),,
Alfa Chemistry,Monolayer Graphene on SiO2/Si(Size of SiO2:1cmx1cm),,
Alfa Chemistry,Monolayer Graphene on SiO?/Si 300 nm,0.345 nm,
Alfa Chemistry,Monolayer Graphene on SiO?/Si 300 nm,0.345 nm,
Alfa Chemistry,Monolayer Graphene on SiO?/Si 90 nm,0.345 nm,
Alfa Chemistry,Monolayer Graphene on SiO?/Si 90 nm,0.345 nm,
Alfa Chemistry,Monolayer Graphene on Thin Film Cu on Sapphire,0.345 nm,
Alfa Chemistry,Monolayer Graphene Powder Chemical method,0.8-1.2 nm,Diameter 0.5-5 μm
Alfa Chemistry,Monolayer Graphene Powder Chemical method,0.8-1.2 nm,Planar size: 0.5~5 μm
Alfa Chemistry,Monolayer MoS2,,"Diameter: 20-500 nm, mainly concentrate in 100-200 nm"
Alfa Chemistry,"Monolayer Nano MoS2 Dispersion 1 mg/mL(C: 1mg/ml, solvent: water)",,Concentration 1mg/ml
Alfa Chemistry,Monolayer WS2,,Appearance Black powder or dispersion
Alfa Chemistry,Monolayer WSe2,,Diameter 20-50 μm
Alfa Chemistry,MoS2 nanosheets dispersion,1-10 Layers,
Alfa Chemistry,MoS2 Niobium-Doped,,
Alfa Chemistry,MoS2 powder 1.5μm,,
Alfa Chemistry,MoS2 powder 15μm,,
Alfa Chemistry,MoS2 Ultrafine Powder,,
Alfa Chemistry,MoSe2 Crystal,,
Alfa Chemistry,MoTe2 Crystal,,
Matexcel,"Multi-wall Carbon Nanotubes, 10-20nm",,
Matexcel,"Multi-wall Carbon Nanotubes, 10-20nm",,
Matexcel,"Multi-wall Carbon Nanotubes, 10-20nm, <2μm",,
Matexcel,"Multi-wall Carbon Nanotubes, 10-20nm, <2μm",,
Matexcel,"Multi-wall Carbon Nanotubes, 20-40nm",,
Matexcel,"Multi-wall Carbon Nanotubes, 20-40nm, <2μm",,
Matexcel,"Multi-wall Carbon Nanotubes, 20-40nm, <2μm",,
Matexcel,"Multi-wall Carbon Nanotubes, 40-60nm, <2μm",,
Matexcel,"Multi-wall Carbon Nanotubes, 40-60nm, <2μm",,
Matexcel,"Multi-wall Carbon Nanotubes, 40-60nmnm",,
Matexcel,"Multi-wall Carbon Nanotubes, 60-100nm",,
Matexcel,"Multi-wall Carbon Nanotubes, 7-15nm",,
Alfa Chemistry,Multilayer Graphene,,
Matexcel,Multilayer Graphene (10 mm x 10 mm),,
Matexcel,Multilayer Graphene on Copper,,
Matexcel,Multilayer Graphene on Nickel,,
Matexcel,"Multilayer Graphene on Nickel, 10-100 layers",,
Matexcel,Multilayer graphene powder,,
Alfa Chemistry,Muscovite,,
Matexcel,Muti-layers Graphene Film on Copper,,
Matexcel,N-doped Graphene quantum dots (blue fluorescence),,
Alfa Chemistry,"N-doped Graphene Sponges (Foams,Aerogel)",,Packaging 1 piece
Alfa Chemistry,N-doped Grpahene,,nitrogen:~3.0wt% BET>500
Angstron Materials Inc.,N002-PDR Graphene Powder,less than 3 layers,Few layer graphene powder
Angstron Materials Inc.,N002-PS,1-1.2nm,Graphene oxide solution
Angstron Materials Inc.,N006-P Graphene Powder,10-20nm,Polar graphene powder
Alfa Chemistry,Nano Au (0) particles on reduced Graphene Oxide,,Packaging 500mg
Matexcel,Nano Graphene Oxide,,
Alfa Chemistry,Nano Graphite Powder,,Packaging 50g
Alfa Chemistry,Nano Pd (0) particles on reduced Graphene Oxide,,Palladium content: 6.5wt%
Matexcel,Nano-ceramic TNSi3N4 Powders,,
Matexcel,Nano-ceramic TNSiC Powders,,
Matexcel,Nano-ceramic TNTiC Powders,,
Matexcel,Nano-ceramic TNTiN Powders,,
Alfa Chemistry,Nanoinnova Graphene Oxide-Carboimidazole,,Packaging 500 mg
Alfa Chemistry,NbS2 Crystal,,
Matexcel,NH2-Functionalized Graphene,,
Matexcel,Nickel Graphene Foam,,
Graphitene,Nitrogen and Phosphorous co-doped Graphene Powder,1-5 atomic layer,
Graphitene,Nitrogen and Sulfur co-doped Graphene Powder,1-5 atomic layer,
Matexcel,Nitrogen Doped Functional Graphene,,
Matexcel,Nitrogen Functionalized Graphene Nanoplatelets,,
Alfa Chemistry,Nitrogen-doped graphene,,Appearance powder
Alfa Chemistry,Nitrogen-Doped Graphene Aerogel,,Appearance: Black Cylindrical
Alfa Chemistry,Nitrogen-doped Graphene Powder,,CAS 7782-42-5
Graphitene,Nitrogen-doped Graphene Powder,1-5 atomic layer,
Nanochemazone,Nitrogen-doped Graphene Powder,0.5-3nm,
Alfa Chemistry,OH Functionalized Graphene,,
Matexcel,OH-Functionalized Graphene,,
Alfa Chemistry,"P-doped Graphene Sponges (Foams,Aerogel)",,Packaging 1 piece
Alfa Chemistry,PELCO 2 Layers Graphene Oxide TEM Support Films on Lacey Carbon,,Copper base
Alfa Chemistry,PELCO 6-8 layers CVD Graphene deposited on TEM Grids Lacey Carbon,,"Carbon mesh, 10 pieces per box"
Graphitene,Phosphorus-doped graphene powder,1-5 atomic layer,
Alfa Chemistry,PMMA-coated Graphene,,
Alfa Chemistry,Preservative Reduce Graphene Oxide Powder,,Packaging 1kg
Nanochemazone,Pretreated Graphene on PET/PMMA Substrate,,
Alfa Chemistry,PtSe2 Crystal,,
nanoEMI,Pure graphene flakes in alcohol suspension,1-10 layers,"Stability: stable over several weeks, (sonication after is recommended to extend the shelf lifetime), FLG flakes are dispersed in DI water/IPA mixture (no surfactants)"
nanoEMI,Pure graphene flakes in castor oil,1-10 layers,"Stability: stable over several weeks, (sonication after is recommended to extend the shelf lifetime)"
Alfa Chemistry,Pyrolytic graphite,,Packaging 50 g
Alfa Chemistry,Pyrolytic Graphite,,
Alfa Chemistry,Pyrolytic Graphite powder,,
Alfa Chemistry,Pyrolytic Graphite Powder,,
Adnano technologies pvt. ltd,Reduced Graphene Oxide,~0.8-2 nm,Very thin exfoliated sheet Improve Mechanical Properties Improve the electrical properties
Alfa Chemistry,Reduced Graphene Oxide,,Packaging 500 mg
Alfa Chemistry,Reduced Graphene Oxide,,
Matexcel,Reduced Graphene Oxide,,
Platonic Nanotech Pvt. Ltd.,Reduced Graphene Oxide,1-10 nm,
Nanografi Nanotechnology Co. Ltd.,Reduced Graphene Oxide (rGO),0.5-2 nm,"S.A:1562m2/g, 2-5 layers"
Nanochemazone,Reduced Graphene Oxide Dispersion,0.55-2nm,
Nanochemazone,Reduced Graphene Oxide Powder,0.5- 3 nm (Customization possible),
Matexcel,Reduced Graphene Oxide Water Dispersion,,
Alfa Chemistry,Reduced Graphene Oxide-NH-Carboimidazole,,Packaging 500mg
Alfa Chemistry,ReS2 Crystal,,Appearance Powder
Alfa Chemistry,ReSe2 Crystal,,
United Nanotech Innovations Pvt.Ltd,Research Graphene,3-6 nm,High quality research grade Graphene
United Nanotech Innovations Pvt.Ltd,Sensor Graphene,2-3 nm,High quality Graphene for Electronics applications
Alfa Chemistry,Single Layer Graphene,,
Alfa Chemistry,Single Layer Graphene,0.5 - 1 nm,
Matexcel,Single Layer Graphene,,
Alfa Chemistry,Single Layer Graphene (Graphene Factory),,
Alfa Chemistry,Single Layer Graphene dispersion water,,Concentration 0.5mg/ml-5mg/ml
Alfa Chemistry,Single Layer Graphene Factory (SLGF) Nanopowder,,
Alfa Chemistry,Single Layer Graphene on PET 10cmx5cm(3-5 layers),,
Alfa Chemistry,Single Layer Graphene on PET 10cmx5cm(6-8 layers),,
Alfa Chemistry,Single Layer Graphene on PET 10cmx5cm(Bilayer),,CAS: 7440-44-0
Alfa Chemistry,Single Layer Graphene on PET 10cmx5cm(Monolayer),,CAS: 7440-44-0
Alfa Chemistry,Single Layer Graphene on PET 1cmx1cm(3-5 layers),,
Alfa Chemistry,Single Layer Graphene on PET 1cmx1cm(6-8 layers),,
Alfa Chemistry,Single Layer Graphene on PET 1cmx1cm(Bilayer),,
Alfa Chemistry,Single Layer Graphene on PET 1cmx1cm(Monolayer),,
Alfa Chemistry,Single Layer Graphene on PET 2cmx2cm(3-5 layers),,
Alfa Chemistry,Single Layer Graphene on PET 2cmx2cm(6-8 layers),,
Alfa Chemistry,Single Layer Graphene on PET 2cmx2cm(Bilayer),,
Alfa Chemistry,Single Layer Graphene on PET 2cmx2cm(Monolayer),,
Alfa Chemistry,Single Layer Graphene on PET 5cmx5cm(3-5 layers),,
