Company,Product,Solvent,Emission Peak
CD Bioparticles,"DiagNano� PAH Silica-Coated Gold Nanoparticles, 200 nm, Silica Shell 30 nm",,
CD Bioparticles,"Absolute Mag� Carboxyl Iron Oxide Nanoparticles, FITC, 30 nm",,
CD Bioparticles,"Absolute Mag� Silanol Magnetic Particles, Magnetite Matrixs, 400-500 nm",,
CD Bioparticles,"Rat Inflammation Antibody Array, 10 Targets",,
CD Bioparticles,"DiagNano GSH PbS Quantum Dots, 1100 nm",,
CD Bioparticles,"DiagNano� Streptavidin Silica Particles, 1 μm",,
CD Bioparticles,"DiagNano GSH ZnSe/ZnS Quantum Dots, 410 nm",,
CD Bioparticles,DiagNano CuIn(Ga)Se2 (CIGSe) Quantum Dots,,
CD Bioparticles,"DiagNano CdSe/ZnS Quantum Dots, 500 nm",,
CD Bioparticles,"DiagNano� PAA Silica-Coated Gold Nanoparticles, 150 nm, Silica Shell 3 nm",,
CD Bioparticles,"Absolute Mag� Amine Iron Oxide Nanoparticles, FITC, 30 nm",,
CD Bioparticles,"MagIso� Genomic DNA Purification Kit, Bacteria",,
CD Bioparticles,"Human Growth Factor Antibody Array, 41 Targets",,
CD Bioparticles,"DiagNano PEG-COOH PbS Quantum Dots, 1200 nm",,
CD Bioparticles,"DiagNano� Avidin Silica Particles, 5 μm",,
CD Bioparticles,"DiagNano PEG-COOH ZnSe/ZnS Quantum Dots, 430 nm",,
CD Bioparticles,DiagNano CuInS2 (CIS) Quantum Dots,,
CD Bioparticles,"DiagNano CdSe/ZnS Quantum Dots, 520 nm",,
CD Bioparticles,"DiagNano� PAA Silica-Coated Gold Nanoparticles, 80 nm, Silica Shell 3 nm",,
CD Bioparticles,"Absolute Mag� Amine Iron Oxide Nanoparticles, AF568, 5 nm",,
CD Bioparticles,MagIso� CD31 Exosome Isolation Kit for FACS,,
CD Bioparticles,"MagIso� CD81 Exosome Isolation Kit, 32 Samples",,
CD Bioparticles,Human Periodontal Disease Antibody Array,,
CD Bioparticles,"DiagNano PEG-NH2 PbS Quantum Dots, 1200 nm",,
CD Bioparticles,"DiagNano� NTA Silica Particles, 15 μm",,
CD Bioparticles,"DiagNano PEG-NH2 ZnSe/ZnS Quantum Dots, 430 nm",,
CD Bioparticles,DiagNano Cu2ZnSnS4 (CZTS) Quantum Dots,,
CD Bioparticles,"DiagNano CdSe/ZnS Quantum Dots, 540 nm",,
CD Bioparticles,"DiagNano� PAA Silica-Coated Gold Nanoparticles, 30 nm, Silica Shell 3 nm",,
CD Bioparticles,"Absolute Mag� Streptavidin Iron Oxide Nanoparticles, Cy5.5, 10 nm",,
CD Bioparticles,MagIso� Cryptosporidium Isolation Kit,,
CD Bioparticles,Rat AKI Antibody Array,,
CD Bioparticles,"DiagNano MPA-COOH PbS Quantum Dots, 1200 nm",,
CD Bioparticles,"DiagNano� NR3+ Silica Particles, 1 μm",,
CD Bioparticles,"DiagNano MPA-COOH ZnSe/ZnS Quantum Dots, 430 nm",,
CD Bioparticles,DiagNano CuInSe2 (CISe) Quantum Dots,,
CD Bioparticles,"DiagNano CdSe/ZnS Quantum Dots, 560 nm",,
CD Bioparticles,"DiagNano� PAA Silica-Coated Gold Nanoparticles, 85 nm, Silica Shell 5 nm",,
CD Bioparticles,"Absolute Mag� Plain Iron Oxide Nanoparticles, FITC, 20 nm",,
CD Bioparticles,"Absolute Mag� Plain Iron Oxide Nanoparticles, AF568, 30 nm",,
CD Bioparticles,"Absolute Mag� Chitosan Magnetic Particles, Silica, 0.5 μm",,
CD Bioparticles,"Human Antibody Array, 182 Targets",,
CD Bioparticles,"DiagNano PEG-COOH PbS Quantum Dots, 1300 nm",,
CD Bioparticles,"DiagNano� NHS Silica Particles, 300 nm",,
CD Bioparticles,"DiagNano GSH ZnSe/ZnS Quantum Dots, 430 nm",,
CD Bioparticles,DiagNano Cu2ZnSnSe4 (CZTSe) Quantum Dots,,
CD Bioparticles,"DiagNano CdSe/ZnS Quantum Dots, 580 nm",,
CD Bioparticles,"DiagNano� PAA Silica-Coated Gold Nanoparticles, 4 nm, Silica Shell 10 nm",,
CD Bioparticles,"DiagNano� PEI Gold Nanoparticles, 5 nm",,
CD Bioparticles,"Absolute Mag� Diphosphate Magnetic Particles, 100 nm",,
CD Bioparticles,"Rat Antibody Array, 90 Targets",,
CD Bioparticles,"DiagNano PEG-NH2 PbS Quantum Dots, 1300 nm",,
CD Bioparticles,"DiagNano� NHS Silica Particles, 5 μm",,
CD Bioparticles,"DiagNano PEG-COOH InP/ZnS Quantum Dots, 540 nm",,
CD Bioparticles,"DiagNano PEG-COOH CdS/ZnS Quantum Dots, 420 nm",,
CD Bioparticles,"DiagNano CdSe/ZnS Quantum Dots, 600 nm",,
CD Bioparticles,"DiagNano� PAA Silica-Coated Gold Nanoparticles, 200 nm, Silica Shell 20 nm",,
CD Bioparticles,"DiagNano CdSe/ZnS Quantum Dots, 620 nm",,
CD Bioparticles,"DiagNano� PAA Silica-Coated Gold Nanoparticles, 1500 nm, Silica Shell 30 nm",,
CD Bioparticles,"DiagNano� Silica-Coated Gold Nanoparticles, 4 nm, Silica Shell 3 nm",,
CD Bioparticles,Absolute Mag� Anti-Human CD2 Magnetic Particles,,
CD Bioparticles,"Rapid Mouse Isotyping Kit, 10 Targets",,
CD Bioparticles,"DiagNano MPA-COOH PbS Quantum Dots, 1300 nm",,
CD Bioparticles,"DiagNano� NTA Silica Particles, 1.5 μm",,
CD Bioparticles,"DiagNano PEG-NH2 InP/ZnS Quantum Dots, 540 nm",,
CD Bioparticles,"DiagNano PEG-NH2 CdS/ZnS Quantum Dots, 420 nm",,
CD Bioparticles,"DiagNano� Carboxyl Quantum Dot Beads, 160 nm, 525 nm Emission Peak",,
CD Bioparticles,"DiagNano CdSe/ZnS Quantum Dots, 640 nm",,
CD Bioparticles,"DiagNano� BSA Silica-Coated Gold Nanoparticles, 20 nm, Silica Shell 3 nm",,
CD Bioparticles,"DiagNano� Silica-Coated Gold Nanoparticles, 40 nm, Silica Shell 10 nm",,
CD Bioparticles,"Absolute Mag� PVPY Magnetic Particles, Silica, 0.5 �m",,
CD Bioparticles,"Absolute Mag� Amine Magnetic Particles, 8.0-9.9 μm",,
CD Bioparticles,"DiagNano� FITC Labeled Silver Nanoparticles, hydroxyl surface, 50 nm",,
CD Bioparticles,"DiagNano MPA-COOH InP/ZnS Quantum Dots, 540 nm",,
CD Bioparticles,"DiagNano MPA-COOH CdS/ZnS Quantum Dots, 420 nm",,
Cytodiagnostics,Cadmium sulfide/Selenide/Zinc sulfide quantum dots,Toluene,490
Cytodiagnostics,Cadmium sulfide/Selenide/Zinc sulfide quantum dots,Toluene,525
Cytodiagnostics,Cadmium sulfide/Selenide/Zinc sulfide quantum dots,H2O with 0.01% Sodi,630
Cytodiagnostics,Cadmium sulfide/Selenide/Zinc sulfide quantum dots,H2O with 0.01% Sodi,665
Cytodiagnostics,Cadmium sulfide/Selenide/Zinc sulfide quantum dots,H2O with 0.01% Sodi,575
Cytodiagnostics,Cadmium sulfide/Selenide/Zinc sulfide quantum dots,H2O with 0.01% Sodi,525
Cytodiagnostics,Cadmium sulfide/Selenide/Zinc sulfide quantum dots,"H2O with 0.01M MES,",665
Cytodiagnostics,Cadmium sulfide/Selenide/Zinc sulfide quantum dots,H2O with 0.01% Sodi,490
Cytodiagnostics,Cadmium sulfide/Selenide/Zinc sulfide quantum dots,Toluene,575
Cytodiagnostics,Cadmium sulfide/Selenide/Zinc sulfide quantum dots,Toluene,630
Cytodiagnostics,Cadmium sulfide/Selenide/Zinc sulfide quantum dots,Toluene,665
Cytodiagnostics,Cadmium sulfide/Selenide/Zinc sulfide quantum dots,"H2O with 0.01M MES,",490
Cytodiagnostics,Cadmium sulfide/Selenide/Zinc sulfide quantum dots,"H2O with 0.01M MES,",525
Cytodiagnostics,Cadmium sulfide/Selenide/Zinc sulfide quantum dots,"H2O with 0.01M MES,",575
Cytodiagnostics,Cadmium sulfide/Selenide/Zinc sulfide quantum dots,"H2O with 0.01M MES,",630
HIQ-NANO srl,Quantum Dots,Anhydrous chloroform,N/A
Nanochemazone,Cadmium Telluride Quantum Dots,"Water, Toluene, IPA (customization available)",
Nanochemazone,Carbon COOH QDs,Water / organic solvents,"<515-525 nm (reference only, actual value may vary)"
Nanochemazone,CdSe ZnS Quantum Dots,Toluene/Aliphatic Amine,
Nanochemazone,Indium Phosphide/Zinc Sulphide Quantum Dots (InP/ZnS) QUANTUM DOTS,"Toluene, IPA (customization available)",520 nm (customization available)
Nanochemazone,LED Quantum Dots (Zinc Selenide /Zinc Sulphide Quantum Dots),Toluene,"415 nm (reference only, actual value may vary)"
Nanochemazone,Perovskite Quantum Dots,Liquid/Powder (customization available),
Nanochemazone,Zinc Selenide /Zinc Sulphide Quantum Dots,"Toluene, IPA (customization available)",405 nm (customization available)
Nanochemazone,ZnCdSeS alloyed Quantum Dots,,
Nanochemazone,Blue Luminescent Hydrophilic Graphene Quantum Dots,WATER (CUSTOMIZABLE),
Nanochemazone,Blue Luminescent Hydrophilic Graphene Quantum Dots (Powder),,
Nanochemazone,Blue Luminescent Hydrophobic Graphene Quantum Dots,Cyclohexane,
Nanochemazone,Blue Luminescent Hydrophobic Graphene Quantum Dots (Powder),,
Nanochemazone,Cadmium Sulphide /Zinc Sulphide Quantum Dots,Toluene,
"NN-Labs, LLC",Cadmium selenide/Zinc sulfide quantum dots,Toluene,540+/-10nm
"NN-Labs, LLC",Cadmium selenide quantum dots,Toluene,500+/-10nm
"NN-Labs, LLC",Cadmium selenide quantum dots,Toluene,640+/-10nm
"NN-Labs, LLC",Cadmium selenide/Zinc sulfide quantum dots,Toluene,580+/-10nm
"NN-Labs, LLC",Cadmium selenide/Zinc sulfide quantum dots,Toluene,600+/-10nm
"NN-Labs, LLC",Cadmium selenide quantum dots,Toluene,620+/-10nm
"NN-Labs, LLC",Cadmium selenide/Zinc sulfide quantum dots,Toluene,620+/-10nm
"NN-Labs, LLC",Cadmium selenide/Zinc sulfide quantum dots,Toluene,640+/-10nm
"NN-Labs, LLC",Cadmium selenide quantum dots,Toluene,460+/-10nm
"NN-Labs, LLC",Cadmium selenide quantum dots,Toluene,560+/-10nm
"NN-Labs, LLC",Cadmium selenide quantum dots,Toluene,580+/-10nm
"NN-Labs, LLC",Cadmium selenide quantum dots,Toluene,610+/-5nm
"NN-Labs, LLC",Cadmium selenide quantum dots,Toluene,520+/-10nm
"NN-Labs, LLC",Cadmium selenide quantum dots,Toluene,540+/-10nm
"NN-Labs, LLC",Cadmium selenide quantum dots,Toluene,480+/-10nm
"NN-Labs, LLC",Cadmium selenide/Zinc sulfide quantum dots,Water,620-635nm
"NN-Labs, LLC",Cadmium selenide quantum dots,Toluene,590+/-5nm
"NN-Labs, LLC",Cadmium selenide quantum dots,Toluene,600+/-5nm
"NN-Labs, LLC",Cadmium selenide/Zinc sulfide quantum dots,Water,640-660nm
"NN-Labs, LLC",Cadmium selenide/Zinc sulfide quantum dots,Water,595-610nm
"NN-Labs, LLC",Cadmium selenide/Zinc sulfide quantum dots,Water,530-550nm
"NN-Labs, LLC",Cadmium selenide/Zinc sulfide quantum dots,Water,570-585nm
"NN-Labs, LLC",Cadmium sulfide quantum dots,Toluene,360+/-10nm
"NN-Labs, LLC",Cadmium sulfide quantum dots,Toluene,380+/-10nm
"NN-Labs, LLC",Cadmium sulfide quantum dots,Toluene,400+/-10nm
"NN-Labs, LLC",Cadmium sulfide quantum dots,Toluene,420+/-10nm
"NN-Labs, LLC",Cadmium sulfide quantum dots,Toluene,440+/-10nm
"NN-Labs, LLC",Cadmium sulfide quantum dots,Toluene,460+/-10nm
"NN-Labs, LLC",Cadmium selenide/Zinc sulfide quantum dots,Toluene,500+/-10nm
"NN-Labs, LLC",Cadmium selenide/Zinc sulfide quantum dots,Toluene,520+/-10nm
"NN-Labs, LLC",Cadmium selenide/Zinc sulfide quantum dots,Toluene,540+/-10nm
Novarials Corporation,Carbon Quantum Dots (Blue),,
Novarials Corporation,Carbon Quantum Dots (Yellow),,
Novarials Corporation,Carbon Quantum Dots (Red),,
Novarials Corporation,Carbon Quantum Dots (Green),,
Novarials Corporation,Core/Shell Quantum Dots (Au/C4),,
Novarials Corporation,Core/Shell Quantum Dots (Au/C5),,
Novarials Corporation,Core/Shell Quantum Dots (Au/C6),,
Novarials Corporation,Core/Shell Quantum Dots (Au/C7),,
Novarials Corporation,Core/Shell Quantum Dots (Au/C8),,
Novarials Corporation,Core/Shell Quantum Dots (Au/C9),,
Novarials Corporation,Core/Shell Quantum Dots (Au/C10),,
Novarials Corporation,Core/Shell Quantum Dots (Au/C11),,
Novarials Corporation,Core/Shell Quantum Dots (Au/C12),,
Novarials Corporation,Core/Shell Quantum Dots (Au/C16),,
Novarials Corporation,Core/Shell Quantum Dots (Au/C18),,
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,Toluene,540 +/-10mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,Water,580 +/-10mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,Water,550 +/-10mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,Water,530 +/-10mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,Water,620 +/-10mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,Toluene,560 +/-10mm
Ocean NanoTech,Cadmium selenide quantum dots,Toluene,640 +/-mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,Water,620 +/-10mm
Ocean NanoTech,Cadmium selenide quantum dots,Toluene,620 +/-10mm
Ocean NanoTech,Cadmium selenide quantum dots,Toluene,600 +/-10mm
Ocean NanoTech,Cadmium selenide quantum dots,Toluene,580 +/-10mm
Ocean NanoTech,Cadmium selenide quantum dots,Toluene,560 +/-10mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,,630 +/-5mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,Toluene,520 +/-10mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,,610 +/-5mm
Ocean NanoTech,Cadmium selenide quantum dots,Toluene,540 +/-10mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,,620 +/-5mm
Ocean NanoTech,Cadmium selenide quantum dots,Toluene,520 +/-10mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,Water,600 +/-10mm
Ocean NanoTech,Cadmium selenide quantum dots,Toluene,500 +/-10mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,Water,600 +/-10mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,Water,580 +/-10mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,Water,600 +/-10mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,Water,620 +/-10mm
Ocean NanoTech,Cadmium telluride quantum dots,Toluene,600 +/-10mm
Ocean NanoTech,Cadmium telluride quantum dots,Toluene,700 +/-10mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,Water,580 +/-10mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,Water,600 +/-10mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,Water,620 +/-10mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,Water,580 +/-10mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,,590 +/-5mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,,580 +/-5mm
Ocean NanoTech,Cadmium selenide/Zinc sulfide quantum dots,,600 +/-5mm
Particle Works,2.8nm CdSe Quantum Dots,Water (Tris Buffer),
Particle Works,3.0nm CdSe Quantum Dots,Toluene,
Particle Works,3.0nm CdSe Quantum Dots,Water (Tris Buffer),
Particle Works,3.3nm CdSe Quantum Dots,Toluene,
Particle Works,3.3nm CdSe Quantum Dots,Water (Tris Buffer),
Particle Works,3.8nm CdSe Quantum Dots,Toluene,
Particle Works,3.8nm CdSe Quantum Dots,Water (Tris Buffer),
Particle Works,4.1nm CdSe Quantum Dots,Toluene,
Particle Works,4.1nm CdSe Quantum Dots,Water (Tris Buffer),
Particle Works,2.8nm CdSe Quantum Dots,Toluene,
PlasmaChem GmbH,Cadmium telluride quantum dots,Water,530 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,,550 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,Water,570 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,Water,590 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,,710 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,Water,550 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,Water,710 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,Water,610 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,Water,690 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,Water,630 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,,570 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,,590 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,Water,650 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,,610 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,Water,670 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,,630 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,,670 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,,690 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,,510 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,,530 +/-5nm
PlasmaChem GmbH,Cadmium selenide/Zinc sulfide quantum dots,,530 +/-5nm
PlasmaChem GmbH,Cadmium selenide/Zinc sulfide quantum dots,,570 +/-5nm
PlasmaChem GmbH,Cadmium selenide/Zinc sulfide quantum dots,,610 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,,650 +/-5nm
PlasmaChem GmbH,Cadmium telluride quantum dots,Water,510 +/-5nm
SINBIOSYS SRL,Silicon quantum dots,Toluene,700-900 nm
SINBIOSYS SRL,Silicon quantum dots,Toluene,900-1000 nm
SINBIOSYS SRL,Silicon quantum dots,Water,700-900 nm
